,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
254,"Trump asks nation to pray over his impeachment, says he’s done nothing wrong https://t.co/lDUY4Y9DkO",Jonathan Sossoman,2801,108,"TOPEKA,KS",False,0,0,2020-01-23 00:03:00
255,RT @waltshaub: Doesn't Priebus work for Michael Best &amp; Friedrich LLP? Isn't Michael Best &amp; Friedrich LLP representing the Trump Organizatio…,Amanda J. Powell,7240,404,,False,0,2653,2020-01-23 00:02:59
256,"RT @Michael_Nutter: Thank you Secy Donovan for standing up for real people who experience real challenges, who suffer from discrimination a…",imajicAnne,65447,3828,,False,0,1,2020-01-23 00:02:59
257,"RT @BelkissObadia: HEY REPUBLICANS WE ARE WATCHING EVERY MINUTE

🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
You are withholding 71 documents and blocking 12 witnesses fro…",Mr. Wednesday,79204,20252,⬛️⬛️⬛️⬛️⬛️⬛️ [REDACTED],False,0,45,2020-01-23 00:02:57
258,"RT @SputnikInt: UPDATE: Meanwhile, the White House accuses Adam Schiff of lying https://t.co/CL5Afkv4AS

@WhiteHouse @RepAdamSchiff #Impeac…",Bibi Spielberg,569012,11653,,False,0,4,2020-01-23 00:02:57
259,"RT @LifeNewsHQ: BREAKING NEWS: 

President Donald Trump Declares January 22nd “National Sanctity of Human Life Day” 

""Every person — the b…",Dawn Arrabito 🇺🇸✝️ 🇮🇹,14326,11169,"New Jersey, USA",False,0,1267,2020-01-23 00:02:56
260,"RT @cjtruth: GREAT NEWS: Donald Trump will become first president to speak live and in person at March for Life this Friday.

The other sid…",Gaberz_3.0,52883,469,"Driftwood, Texas",False,0,235,2020-01-23 00:02:56
261,RT @PoliticusSarah: A dozen Republican Senators broke the rules and walked out on Adam Schiff as he was delivering the evidence against Don…,Synaptic Gap,57702,1240,,False,0,910,2020-01-23 00:02:54
262,@MalcolmNance @seyyedreza Ive heard that Trump loves Col Sanders Chicken so much that he was going to vote for Butt… https://t.co/mV0oYiiYBr,Mark Simon,236,42,"Arizona, USA",False,0,0,2020-01-23 00:02:54
263,"RT @PalmerReport: Donald Trump's day so far:

- Confesses that he's sitting on incriminating evidence against himself
- The idiot just scre…",Quazy,157519,547,,False,0,1581,2020-01-23 00:02:54
264,"RT @HouseIntel: Donald Trump felt that Ukraine owed him.

His main focus before releasing the aid was what he would get in return.

But it'…",Leslie Hall,152600,400,,False,0,1000,2020-01-23 00:02:53
265,"RT @HouseIntel: Where were you on July 25, 2019?

On July 25, 2019:

— Ukrainian soldiers were manning the front lines against Russian-back…",Positive Democrats,84621,1875,"North Carolina, USA",False,0,603,2020-01-23 00:02:53
266,Donald trump lit he rock wit ++++dodge ram,PlayboiCarti,20924,6,,False,0,0,2020-01-23 00:02:53
267,RT @ABC: Rep. Adam Schiff quotes from Alexander Hamilton at the start of House impeachment managers' opening arguments in the trial of Pres…,Dale,108,7,rva,False,0,907,2020-01-23 00:02:52
268,"RT @ABC: Rep. Hakeem Jeffries says that President Trump's phone call with Ukrainian President Zelenskiy is ""direct evidence that President…",Jewel Shears,15571,267,,False,0,60,2020-01-23 00:02:51
269,RT @true_pundit: ‘Donald Trump’s Worst Nightmare’ Imprisoned in El Chapo’s Former Cell in Manhattan https://t.co/o4LBs6UlMc,Donald Hump,45650,621,,False,0,4,2020-01-23 00:02:51
270,RT @PhilipWegmann: Just Now: Donald Trump to become first president to speak live and in person at March for Life this Friday.,InspectorDetector,16148,181,Great state of Texas,False,0,233,2020-01-23 00:02:51
271,"RT @1Romans58: More #Fakenews debunked.

Trump isn’t cutting social security and NEVER said he was. The media continues to lie everyday.…",Resa Young,16938,353,"Milford, OH",False,0,10,2020-01-23 00:02:50
272,"RT @GaryRayBetz: Sorry pal, but they ain't 'entitlements'! I've been paying into Medicare &amp; Social Security since my first job at the filli…",Lycia,32511,2625,The Depths and the Heights,False,0,175,2020-01-23 00:02:49
